average_rating,budget,runtime_minutes,release_year,gross,num_votes
6.4,48000000,118,2001,76019048,87925
7.1,4000000,78,1970,35459543,111758
7.6,4000000,144,1970,5200000,52628
7.4,3500000,116,1970,81600000,75784
7.9,12000000,172,1970,61749765,106476
6.6,777000,86,1971,2437000,53906
8.3,2200000,136,1971,26960374,864440
6.5,7200000,120,1971,43829933,112043
7.7,4000000,102,1971,35988495,165277
7.7,1800000,104,1971,51701871,131995
7.9,1200000,91,1971,1546,80626
8,1300000,118,1971,29146131,51275
7.8,3000000,100,1971,622861,215495
7.8,370000,95,1972,37041,60516
7.8,4600000,124,1972,108405,58141
7.7,2000000,109,1972,4534,117081
9.2,6000000,175,1972,250341816,1963432
7.4,5500000,105,1973,15706540,62224
7.4,750000,110,1973,115000889,96404
7.7,450000,94,1973,54396,76903
7.1,1500000,110,1973,114156,60820
7.6,850000,102,1973,114252,110940
8.1,11000000,122,1973,441306145,443710
6.7,7000000,121,1973,35382710,113277
7.2,500000,112,1973,59034,116501
8,12000000,151,1973,53267000,136272
7.7,3000000,130,1973,29857432,131501
7,4000000,97,1973,210,69150
8.3,5500000,129,1973,156000000,274104
6.9,1250000,129,1972,36182181,57082
7.5,810000,88,1973,512343,89128
7.7,2600000,93,1974,119617265,148020
8.2,6000000,130,1974,29226502,342025
7.8,1600000,113,1974,4696729,118229
9,13000000,202,1974,47961919,1333027
6.7,7000000,125,1974,20972000,111025
7.4,140000,83,1974,30860378,178769
8,2800000,106,1974,86273333,166262
8.1,11000000,185,1975,245878,178289
8,1800000,125,1975,50000000,268858
8.1,7000000,124,1975,476512065,644554
7.8,8000000,129,1975,12678,51197
8.7,3000000,133,1975,109114817,1049260
7.4,1200000,100,1975,115341126,163210
7.4,20000000,117,1975,27476252,60556
7.9,8500000,138,1976,70600000,123134
7.4,1800000,98,1976,33800000,201876
7.3,10000,89,1977,23557,124232
7.4,6500000,125,1976,21709020,68705
8.1,3800000,121,1976,23690757,166646
7.5,2800000,111,1976,60922980,128038
7.8,3700000,135,1976,31800000,78172
8.1,960000,120,1976,117250587,613757
8.2,1300000,114,1976,28573323,893140
8,4000000,93,1977,38288028,273832
7.6,20000000,138,1977,306889114,212488
6.9,7500000,77,1977,71215869,68287
6.8,3000000,118,1977,237113184,85296
7,4300000,96,1977,126737428,55469
7,13500000,125,1977,46875764,114112
8.6,11000000,121,1977,775398007,1421081
7.8,650000,127,1978,159822,126456
7.8,3000000,94,1978,3475702,61290
8.1,15000000,183,1978,49074379,354527
7.2,6000000,110,1978,396271103,293487
7.7,325000,91,1978,47160000,300736
7.4,3500000,115,1978,24946715,67208
5.8,20000000,116,1978,187884007,83238
7.4,3000000,109,1978,141607219,127184
7.4,55000000,143,1978,300478449,184047
8.5,11000000,117,1979,106285522,926218
8.4,31500000,147,1979,104880868,695771
7.6,8000000,112,1979,43005351,144224
7.8,8000000,105,1979,106260000,151904
8,4000000,94,1979,20745728,416540
6.8,300000,88,1979,8773197,217283
7.8,9000000,96,1979,40194067,144824
6.2,34000000,126,1979,210308099,106688
7.3,7000000,119,1979,85187855,226370
6.4,35000000,143,1979,82674320,94985
7.5,4000000,93,1979,22490471,108263
7.7,3500000,88,1980,83454304,254328
5.8,4500000,104,1980,58853106,74958
7.9,27500000,133,1980,115229890,209524
7.2,6000000,98,1980,39918650,124693
8.2,5000000,124,1980,26023860,253282
8.7,18000000,124,1980,538375067,1349868
6.5,20000000,111,1980,27176821,60119
6.8,1000000,89,1980,21448830,81175
6.4,550000,95,1980,39911960,154210
7.3,5000000,109,1980,30031783,58579
7.7,6000000,124,1980,54766923,55406
8.1,18000000,129,1980,23404827,371674
8.4,19000000,146,1980,47277357,1080035
6.8,54000000,127,1980,216385706,112755
6.9,5000000,116,1981,42368025,67022
7.5,10000000,97,1981,30794462,117306
7.4,18000000,108,1981,12000754,60280
7.1,5500000,125,1981,59303359,64552
6.9,20000000,129,1982,68851475,159016
7.1,6000000,99,1981,25274965,152912
7.3,11000000,140,1981,34971136,65668
6.7,28000000,127,1981,54837550,106293
7.2,12000000,83,1981,63456988,99485
6.1,1250000,87,1981,21722776,75960
6.5,2500000,92,1981,25533818,99791
6.8,11000000,92,1981,31672907,54315
7.6,3000000,96,1981,23668406,189591
8.4,18000000,115,1981,389925971,1017826
6.8,10000000,106,1981,85297000,78295
6.9,12000000,96,1982,78868508,83219
6.1,15000000,85,1982,27150534,55579
8.1,28000000,117,1982,41712525,804935
6.8,8000000,120,1982,21028755,52134
7.1,15000000,93,1982,41631350,70263
7.9,10500000,115,1982,792910554,428935
7.4,350000,85,1981,2895379,228112
8.1,6000000,188,1982,6799117,66294
7.1,4500000,90,1982,27093116,112959
7.7,15000000,93,1982,125212904,268737
5.6,2300000,95,1982,36690067,59141
8,22000000,191,1982,52767889,238002
7,7500000,124,1982,129795554,60628
7.3,10700000,114,1982,77229971,176246
6.8,17000000,99,1982,125052686,206636
7.5,12000000,150,1982,30036166,51466
7.7,11200000,113,1982,79818511,127336
8.2,15000000,109,1982,19634641,453053
7.4,21000000,116,1982,177200271,112565
6.7,17000000,96,1982,33000525,127099
6.7,9700000,110,1983,21042514,90191
7.9,3300000,93,1983,20791649,162232
7.2,10000000,103,1983,20766616,75398
6.2,7500000,95,1983,92921203,58086
5.1,2500000,98,1982,14400000,59842
7.8,20000000,109,1982,2536242,114576
7.5,9000000,107,1983,14949697,123937
7.3,15000000,98,1983,61418063,117267
6.1,36000000,134,1983,55432841,71639
6.5,27500000,131,1983,67917094,110999
7,10000000,91,1983,25839182,94481
